Kode SDKI,Kode SIKI,Nama SIKI,Definisi,Tindakan Observasi,Tindakan Terapeutik,Edukasi,Kolaborasi
D.0035,I.10338,2. Perawatan Bayi,"Mengidentifikasi dan merawat kesehatan bayi Tindakan Observasi 1. Monitor tanda tanda vital bayi (terutama suhu 36,5°c – 37,5°c) Terapeutik 1. mandikan bayi dengan suhu ruangan 21-24°c 2. Mandikan bayi dalam waktu 5-10 menit dan 2 kali dalam sehari 3. Rawat tali pusat secara terbuka (tali pusat tidak di bungkus apapun) 4. Bersihkan pangkal tali pusat lidi kapas yang telah di beri air matang 5. Kenakan popok bayi dibawah umbilikus jika tali pusat belum terlepas 6. Lakukan pemijatan bayi 7. Ganti popok bayi jika basah 8. Kenakan pakaian bayi dari bahan katun",,,"1. Anjurkan ibu menyusui sesuai kebutuhan bayi
2. Ajarkan ibu cara merawat bayi di rumah
3. Ajarkan cara pemberian makanan pendamping ASI pada bayi > 6 bulan",
D.0035,I.03098,Manajemen Cairan,Mengidentifikasi dan mengelola keseimbangan cairan dan mencegah komplikasi akibat ketidakseimbangan cairan,"1. Monitor status hidrasi (mis. Frekuensi nadi,kekuatan nadi,akral,pengisian kapiler,kelembapan mukosa,turgor kulit,tekanan darah)
2. Monitor berat badan harian
3. Monitor berat badan sebelum dan sesudah dialisis
4. Monitor hasil pemeriksaan laboratorium (mis. hematokrit,Na, K, Cl, berat jenis urine, BUN)
5. Monitor status hemodinamik (mis. MAP, CVP, PAP, PCWP jika tersedia)","1. Catat intake-output dan hitung balans cairan 24 jam
2. Berikan asupan cairan, sesuai kebutuhan
3. Berikan cairan intravena,jika perlu",,"1. Kolaborasi pemberian diuretic,jika perlu."
D.0035,I.03121,Pemantauan Cairan,Mengumpulkan dan menganalisis data terkait pengaturan keseimbangan cairan.,"1. Monitor frekuensi dan kekuatan nadi
2. Monitor frekuensi napas
3. Monitor berat badan
4. Monitor tekanan darah
5. Monitor waktu pengisian kapiler
6. Monitor elastisitas atau turgor kulit
7. Monitor jumlah,warna dan berat jenis urine
8. Monitor kadar albumin dan protein total
9. Monitor hasil pemeriksaan serum (mis.osmolaritas serum, hematocrit, natrium, kalium, BUN)
10. Monitor intake dan output cairan
11. Identifikasi tanda-tanda hypovolemia (mis. frekuensi nadi meningkat,nadi teraba lemah,kering,volume urine menurun,hemtokrit meningkat,haus,lemah,kons entrasi urine meningkat, berat badan menurun dalam waktu singkat)
12. Identifikasi tanda-tanda hypervolemia (mis.dispnea, edema perifer, edema anasarka,JVP meningkat,CVP meningkat, reflek hepatojugular positif, berat badan menurun dalam waktu singkat)
13. Identifikasi factor resiko ketidakseimbangan cairan (mis.prosedur pembenahan mayor, trauma/perdarahan, luka bakar,apheresis, obstruksi intestinal, peradangan pancreaspenyakit ginjal dan kelenjar, disfungsi intestinal) Terapeutik:
1. Atur interval waktu pemantauan sesuai dengan kondisi pasien
2. Dokumentasikan hasil pemantauan",,"1. Jelaskan tujuan dan prosedur pemantauan
2. Informasikan hasil pemantauan, jika perlu, Pemantauan Elektrolit (L.03122)",
D.0035,I.04148,Pemantauan Cairan,"Masukan selang kateter urine ke dalam kandung kemih Tindakan Observasi 1. Memeriksa kondisi pasien (mis. Kesadaran, tanda - tanda vital daerah perineal, distensi kandung kemih, inkontinensia urine, refleks berkemih) Terapeutik 6. Menyiapkan peralatan, bahan-bahan dan ruangan tindakan 7. Menyiapkan pasien: membebaskan pakaian bawah dan memposisikan dorsal rekumben (untuk wanita) dan supine (untuk laki-laki) 8. Memasang sarung tangan 9. Membersikan daerah perineal atau preposium dengan cairan NaCl atau aquades 10. Melakukan insersi keteter urine dengan menerapkan prinsip aseptik 11. Menyambungkan kateter urin dengan urine bag 12. Mengisi balon dengan NaCl 0,9% sesuai anjuran pabrik 13. Memfiksasikan selang kateter diatas simpisis atau paha 14. Memastikan kantung urine ditempatkan lebih rendah dari kandung kemih 15. Memberikan label waktu pemasangan",,,"1. Menjelaskan tujuan dan prosedur pemasangan kateter urin
2. Menganjurkan menarik napas saat insersi selang kateter Perawatan inkontinensia urine",
D.0035,I.04148,Pemantauan Cairan,Mengidentifikasikan dan merawat pasien yang mengalami pengeluaran urin secara involunter (tidak disadari),"1. Mengidentifikasi penyebab inkontinensia urine (mis. Disfungsi neurologis,gangguan medula spinalis,gangguan refleks destrusor,obat-obatan ,usia,riwayat operasi,gangguan fungsi kognitif)
2. Mengidentifikasi perasaan dan persepsi pasien terhadap inkontinensia urine yang di alaminya
3. Memonitoring keefektifan obat, pembedahan dan terapi modalitas berkemih
4. Memonitoring kebiasaan berkemih","1. Membersihkan genital dan kulit sekitar secara rutin
2. Memberikan pujian atas keberhasilan mencegah inkontinensia
3. Membuat jadwal komsumsi obat-obat diuretik
4. Mengambil sampel urine untuk pemeriksaan urine lengkap atau kultu","1. Menjelaskan definisi, jenis inkontinensia,penyebab inkotinensia urine
2. menjelaskan program penanganan inkontinensia urine
3. menjelaskan jenis pakaian dan lingkungan yang mendukung proses berkemih
4. menganjurkan membatasi komsumsi cairan 2-3 jam menjelang tidur
5. mengajarkan memantau cairan keluar dan masuk serta pola eliminasi urine
6. menganjurkan minum minimal 1500 cc /hari, jika tidak kontraindikasi
7. menganjurkan menghindari kopi, minuman bersoda, teh dan cokelat
8. menganjurkan komsumsi buah dan sayur untuk menghindari konstipasi","1. rujuk ke ahli inkontinensia, jika perlu Perawatan inkontinensia urin."
D.0035,I.04163,Pemantauan Cairan,"Mengidentifikasi dan merawat pasien yang mengalami pengeluaran urine secara involunter (tidak disadari). Tindakan Observasi 1. Identifikasi penyebab inkontinensia urine (mis, disfungsi neurologis, gangguan medula spinalis, gangguan refleks destrusor, obat-obatan, usia, riwayat operasi, gangguan fungsi kognitif) 2. Identifikasi perasaan dan persepsi pasien terhadap inkontinensia urine yang dialaminya 3. Monitor keefektifan obat, pembedahan dan terapi modalitas berkemih 4. Monitor kebiasaan BAK",,"1. Bersihkan genital dan kulit sekitar secara rutin
2. Berikan pujian atas keberhasilan mencegah inkontinensia
3. Buat jadwal konsumsi obatobatan diuretic
4. Ambil sampel urine untuk pemeriksaan urine lengkap atau kultur Edukasi
1. Jelaskan Definisi, jenis inkontinensia, penyebab inkontinensia urine
2. Jelaskan program penanganan inkontinensia urine
3. Jelaskan jenis pakaian dan lingkungan yang mendukung proes berkemih
4. Anjurkan membatasi mengonsumsi cairan 2-3 jam menjelang tidur
5. Ajarkan memantau cairan keluar dan masuk serta pola eliminasi urine
6. Anjurkan minum minimal 1500 cc/hari, jika tidak kontraindikasi
7. Anjurkan menghindari kopi, minuman bersoda, the dan coklat
8. Anjurkan konsumsi buah dan sayur untuk menghindari konstipasi",,"1. Rujuk ke ahli inkontinensia, jika perlu."
D.0035,I.04149,Latihan Berkemih,,,,,
D.0035,I.04149,Latihan Berkemih,"Mengajarkan suatu kemampuan melakukan eliminasi urine. Tindakan Observasi 1. Periksa kembali penyebab gangguan berkemih (mis. kognitif, kehilangan ekstremitas/fungsi ekstremitas, kehilangan penglihatan) 2. Monitor pola dan kemampuan berkemih",,"1. Hindari penggunaan kateter indwelling
2. Siapkan area toilet yang aman
3. Sediakan peralatan yang dibutuhkan dekat dan mudah dijangkau (mis. kursi komode, pispot, urinal) Edukasi
1. Jelaskan arah-arah menuju kamar mandi/toilet pada pasien dengan gangguan penglihatan
2. Anjurkan intake cairan adekuat untuk mendukung output urine
3. Anjurkan eliminasi normal dengan beraktivitas dan olahraga sesuai kemampuan Perawatan",,
D.0035,I.04163,Inkontinensia Urine,"Mengidentifikasi dan merawat pasien yang mengalami pengeluaran urine secara involunter (tidak disadari) Tindakan Observasi 1. Identifikasi penyebab inkontinensia urine (mis. disfungsi neurologis, gangguan medula spinalis, gangguan refleks destrusor, obat-obatan, usia, riwayat operasi, gangguan fungsi kognitif) 2. Identifikasi perasaan dan persepsi pasien terhadap inkontinensia urine yang dialaminya 3. Monitor keefektifan obat, pembedahan dan terapi modalitas berkemih 4. Monitor kebiasaan BAK",,"1. Bersihkan genital dan kulit sekitar secara rutin
2. Berikan pujian atas keberhasilan mencegah inkontinensia
3. Buat jadwal konsumsi obatobat diuretik
4. Ambil sampel urine untuk pemeriksaan urine lengkap atau kultur Edukasi
1. Jelaskan definisi, jenis inkontinensia, penyebab inkontinensia urine
2. Jelaskan program penanganan inkontinensia urine
3. Jelaskan jenis pakaian dan lingkungan yang mendukung proses berkemih
4. Anjurkan membatasi konsumsi cairan 2-3 jam menjelang tidur
5. Ajarkan memantau cairan keluar dan masuk serta pola eliminasi urine
6. Anjurkan minum minimal 1500 cc/hari, jika tidak kontraindikasi
7. Anjurkan menghindari kopi, minuman bersoda, teh dan cokelat
8. Anjurkan konsumsi buah dan sayur untuk menghindari konstipasi",,"1. Rujuk ke ahli inkontinensia, jika perlu Kateterisasi Urine (1.04148)"
D.0046,I.07215,Inkontinensia Urine,Mengajarkan kemampuan meningkatkan otot-otot elevator ani dan urogenitas melalui kontraksi berulang untuk menurunkan inkontinesia urin dan ejakulasi dini. Tindakan Observasi 1. Monitor pengeluaran urine Terapeutik 1. Berikan reinforcement positif selama melakukan latihan dengan benar,,,"1. Anjurkan berbaring
2. Anjurkan tidak mengkontraksikan perut, kaki dan bokong saat melakukan latihan otot panggul
3. Anjurkan menambah durasi kontraksi-relaksasi 10 detik dengan siklus 10-12 kali, dilakukan 3-4 kali sehari
4. Ajarkan mengkontraksikan sekitar ototuretra dan anus seperti menahan BAB/BAK selama 5 detik kemudian dikendurkan dan direlaksasikan dengan siklus 10 kali
5. Ajarkan mengevaluasi latihan yang dilakukan dengan cara menghentikan urin sesaat saat BAK, seminggu sekali
6. Anjurkan latihan selama 6-12 minggu","1. Kolaborasi rehabilitas medik untuk mengukur kekuatan kontraksi otot dasar panggul, jika perlu Perawatan Inkontinensia"
D.0046,I.04163,Urine,"Mengindentifikasi dan merawat pasien yang mengalami pengeluaran urine secara involunter (tidak disadari) Tindakan Observasi 1. Identifikasi penyebab inkotinensia urine (mis. disfungsi neurologis, gangguan medula spinalis, gangguan refleks destrusor, obatobatan, usia, riwayat operasi, gangguan fungsi kognitif) 2. Identifikasi perasaan dan presepsi pasien terhadap inkontinensia urine yang dialaminya 3. Jelaskan jenis pakaian dan lingkuangan yang mendukung proses berkemih 4. Anjurkan membatasi konsumsi cairan 2-3 jam menjelang tidur 5. Ajarkan memantau cairan keluar dan masuk serta pola eliminasi urine 6. Anjurkan minum minimal 1500 cc/hari, jika tidak kontraindikasi 7. Anjurkan menghindari kopi, minuman bersoda, teh dan coklat 8. Anjurkan konsumsi buah dan sayur untuk menghindari konstipasi",,,,"1. Rujuk ke ahli inkontinensia, jika perlu Latihan berkemih"
D.0046,I.04149,Urine,"Mengajarkan suatu kemampuan melakukan eliminasi urine. Tindakan Observasi 1. Periksa kembali penyebab gangguan berkemih (mis. Kognitif,kehilangan ekstremitas/fungsi ekstremitas,kehilangan penglihatan) 2. Monitor pola dan kemampuan berkemih. Terapeutik 1. Hindari penggunaan kateter indwelling. 2. Siapkan area toilet yang aman. 3. Sediakan peralatan yang dibutuhkan dekat dan mudah dijangkau( mis. Kursi komode,pispot,urinal)",,,"1. Jelaskan arah-arah menuju kamar mandi/toilet pada pasien dengan gangguan penglihatan
2. Anjurkan intake cairan adekuat untuk mendukung output urine
3. Anjurkan eliminasi normal dengan beraktivitas dan olahraga sesuai kemampuan. . Manajemen Eliminasi Urine",
D.0048,I.04152,Urine,"Mengidentifikasi dan mengelola gangguan pola eliminasi urine. Tindakan Obserfasi 1. Identifikasi tanda dan gejala inkontinensia urine. 2. Identifikasi faktor yang menyebabkan retensi atau inkontinensia urine 3. Monitor eliminasi urine (mis. frekuensi, konsistensi, aroma, volume, dan wama)",,"1. Catat waktu-waktu dan haluaran berkemih
2. Batasi asupan cairan, jika perlu
3. Ambil sampel urine tengah (midstream) atau kultur","1. Ambil sampel urine tengah (midstream) atau kultur
2. Ajarkan mengukur asupan cairan dan haluaran urine
3. Ajarkan mengambil spesimen urine midstream
4. Ajarkan mengenali tanda berkemih dan waktu yang tepat untuk berkemih
5. Ajarkan terapi modalitas penguatan otot-otot panggul/berkemihan
6. Anjurkan minum yang cukup, jika tidak ada kontraindikasi
7. Anjurkan mengurangi minum menjelang tidur","1. Pemberian obat supositoria uretra, jika perlu"
D.0049,I.04151,Urine,"Megidentifikasi dan mengelola gangguan pola eliminasi fekal Tindakan Observasi 1. Identifikasi masalah usus dan penggunaan obat pencahar 2. Identifikasi pengobatan yang berefek pada kondisi gastrointestinal 3. Monitor buang air besar (mis. warna, frekuensi, konsistensi, volume) 4. Monitor tanda dan gejala diare, konstipasi, atau impaks",,"1. Berikan air hangat setelah makan
2. Jadwalkan waktu defekasi bersama pasien
3. Sediakan makanan tinggi serat","1. Jelaskan jenis makanan yang membantu meningkatkan keteraturan peristaltik usus
2. Anjurkan mencatat warna, frekuensi, konsistensi, volume feses
3. Anjurkan meningkatkan aktivitas fisik, sesuai toleransi
4. Anjurkan pengurangan asupan makanan yang meningkatkan pembentukkan gas
5. Anjurkan mengkonsumsi makanan yang mengandung tinggi serat
6. Anjurkan meningkatkan asupan cairan, jika tidak ada kontraindikasi","1. Kolaborasi pemberian obat suppositoria anal, jika perlu"
D.0050,I.04148,Urine,Memasukkan selang kateter urine ke dalam kandung kemih,"1. Memeriksa kondisi pasien (mis. kesadaran, tandatanda vital, daerah perineal, disntensi kandung kemih, inkontinensia urine, refleks berkemih) Terapeutik
1. Menyiapkan peralatan, bahan-bahan, dan ruangan tindakan
2. Menyiapkan pasien: bebaskan pakaian bawah dan posisikan dorsal recumbent (untuk wanita) dan supine (untuk lakilaki)
3. Memasang sarung tangan
4. Membersihkan daerah perineal atau periposium dengan cairan NaCl
5. Melakukan insersi kateter urine dengan menerapkan prinsip aseptik
6. Menyambungkan kateter urine dengan urine bag
7. Mengisi balon dengan NaCl 0,9% sesuai dengan anjuran pabrik
8. Mengfiksasi selang kateter di atas simpisis atau di paha
9. Memastikan kantung urine ditempatkan lebih rendah dari kandung kemih
10. Memberikan label waktu pemasangan",,"1. Menjelaskan tujuan dan prosedur pemasangan kateter urine
2. Menganjurkan menarik napas saat insersi selang kateter Manajemen Eliminasi",
D.0051,I.04152,Urine,"Mengidentifikasi dan mengelola gangguan pola eliminasi urine Tindakan Observasi 1. Identifikasi tanda dan gejala retensi atau inkontinensia urine 2. Identifikasi faktor yang menyebabkan retensi atau inkontinensia urine 3. Monitor eliminasi urine (mis. frekuensi, konsistensi, aroma, volume, dan warna)",,"1. Catat waktu-waktu dan haluaran berkemih
2. Batasi asupan cairan, jika perlu
3. Ambil sampel urine tengah (midstream) atau kultur","1. Ajarkan tanda dan gejala infeksi saluran kemih
2. Ajarkan mengukur asupan cairan dan haluaran urine
3. Ajarkan mengambil spesimen urine midstream
4. Ajarkan mengenali tanda berkemih dan waktu yang tepat untuk berkemih
5. Ajarkan terapi modalitas penguatan otot-otot panggul/berkemihan
6. Anjurkan minum yang cukup, jika tidak ada kontraindikasi
7. Anjurkan mengurangi minum menjelang tidur","1. Kolaborasi pemberian obat supositoria uretra, jika perlu
1. Pencegahan Konstipasi"
